time [d]	Qevap [W]	mdot [kg/s]
409	-1723.57159	0.137445901
410	-1443.38896	0.115102788
411	-1268.3879	0.101147361
412	-2027.6035	0.16169087
413	-2203.84606	0.1757453
414	-1936.37093	0.154415544
415	-1993.66544	0.158984485
416	-2005.72125	0.159945873
417	-2111.40722	0.168373781
418	-2297.80642	0.183238151
419	-2789.35813	0.222436852
420	-3018.52187	0.240711472
421	-2016.75084	0.160825426
422	-1967.87578	0.156927893
423	-2072.12265	0.165241041
424	-1759.15519	0.140283508
425	-1854.30115	0.147870905
426	-1890.74275	0.150776934
427	-2197.54977	0.175243203
428	-2698.8039	0.215215621
429	-2161.80406	0.172392669
430	-1967.65166	0.156910021
431	-1979.59541	0.157862472
432	-1651.40482	0.131690975
433	-1911.44824	0.152428089
434	-1077.78632	0.085947872
435	-1007.07048	0.080308651
436	-769.52551	0.061365671
437	-695.17045	0.055436241
438	-648.56623	0.051719795
439	-598.32877	0.047713618
440	-853.72456	0.068080108
441	-782.9172	0.062433588
442	-796.87816	0.063546903
443	-950.01179	0.075758515
444	-821.96595	0.065547524
445	-732.72394	0.058430936
446	-781.23032	0.062299068
447	-960.15959	0.076567751
448	-1519.69922	0.121188136
449	-1369.85966	0.109239207
450	-1759.66232	0.140323949
451	-2024.32698	0.161429584
452	-1666.98766	0.132933626
453	-1234.22585	0.098423114
454	-612.96209	0.04888055
455	-563.12568	0.044906354
456	-458.89363	0.036594389
457	-658.8556	0.052540319
458	-1552.66098	0.123816666
459	-2031.30746	0.161986241
460	-1512.06107	0.120579033
461	-1192.82969	0.095121985
462	-754.559	0.060172169
463	-835.07749	0.066593102
464	-1668.21447	0.133031457
465	-1491.11079	0.118908357
466	-1779.55973	0.141910664
467	-1752.01247	0.139713913
468	-1101.30813	0.087823615
469	-1095.55446	0.087364789
470	-1045.68568	0.083388013
471	-850.04998	0.067787079
472	-807.1999	0.064370008
473	-770.32176	0.061429168
474	-456.78204	0.036426
475	-300.07419	0.023929361
476	-384.65063	0.030673894
477	-633.32256	0.050504191
478	-538.9345	0.042977233
479	-184.99247	0.014752191
480	-73.24915	0.005841241
481	-232.48147	0.018539192
482	-426.03795	0.033974318
483	-255.80269	0.020398938
484	-86.34886	0.006885874
485	-40.43481	0.003224467
486	-44.13578	0.003519599
487	-29.21061	0.002329395
488	-36.29431	0.002894284
489	-249.19674	0.019872148
490	-538.08807	0.042909734
491	-650.89895	0.051905818
492	-128.35251	0.010235447
493	-104.15535	0.00830585
494	-142.46973	0.011361223
495	-146.89038	0.011713746
496	-74.98608	0.005979752
497	-179.24764	0.014294071
498	-468.35425	0.037348823
499	-412.139	0.032865949
500	-333.55504	0.026599286
501	-285.01915	0.0227288
502	-218.84785	0.017451981
503	-205.12583	0.016357722
504	-229.671	0.018315072
505	-369.01761	0.029427242
506	-486.5913	0.038803135
507	-174.68256	0.013930029
508	-96.70895	0.007712038
509	-68.77832	0.005484714
510	-67.98207	0.005421217
511	-40.83586	0.003256448
512	-33.43067	0.002665923
513	-15.4414	0.001231372
514	-37.10226	0.002958713
515	-113.3418	0.009038422
516	-196.89488	0.015701347
517	-150.38218	0.0119922
518	-154.82935	0.012346838
519	-133.87023	0.010675457
520	-100.50144	0.008014469
521	-83.70947	0.006675396
522	-149.1022	0.011890128
523	-190.99678	0.015231003
524	-172.90715	0.013788449
525	-35.54525	0.00283455
526	-12.23573	0.000975736
527	-17.02207	0.001357422
528	-14.88695	0.001187157
529	-10.15664	0.000809939
530	-3.96656	0.000316312
531	-5.64746	0.000450355
532	-19.34296	0.001542501
533	-31.88536	0.002542692
534	-21.40138	0.001706649
535	-3.24987	0.00025916
536	-3.26456	0.000260332
537	-4.25256	0.000339119
538	-1.3	0.000103668
539	-2.81931	0.000224826
540	-5.24056	0.000417907
541	-4.61526	0.000368043
542	-1.3	0.000103668
543	-11.40698	0.000909648
544	-17.12828	0.001365892
545	-11.21822	0.000894595
546	-16.41458	0.001308978
547	-13.81341	0.001101547
548	-6.53809	0.000521379
549	-4.25555	0.000339359
550	-15.52681	0.001238182
551	-25.65108	0.002045541
552	-23.40091	0.001866102
553	-33.7935	0.002694857
554	-25.95476	0.002069757
555	-9.09792	0.000725512
556	-2.6689	0.000212831
557	-1.3	0.000103668
558	-1.3	0.000103668
559	-1.3	0.000103668
560	-8.89447	0.000709288
561	-9.04189	0.000721044
562	-9.43995	0.000752787
563	-3.25871	0.000259865
564	-1.3	0.000103668
565	-1.3	0.000103668
566	-1.3	0.000103668
567	-1.3	0.000103668
568	-4.73616	0.000377684
569	-7.23112	0.000576645
570	-3.57136	0.000284798
571	-4.22903	0.000337243
572	-5.99547	0.000478108
573	-1.3	0.000103668
574	-1.3	0.000103668
575	-1.3	0.000103668
576	-1.99056	0.000158737
577	-3.20853	0.000255863
578	-6.99816	0.000558067
579	-5.81555	0.000463759
580	-7.11906	0.000567709
581	-11.30974	0.000901893
582	-10.64323	0.000848743
583	-8.14528	0.000649544
584	-2.73078	0.000217766
585	-1.3	0.000103668
586	-1.3	0.000103668
587	-1.3	0.000103668
588	-1.3	0.000103668
589	-1.3	0.000103668
590	-1.3	0.000103668
591	-1.3	0.000103668
592	-1.3	0.000103668
593	-1.40075	0.000111703
594	-1.3	0.000103668
595	-1.3	0.000103668
596	-5.47638	0.000436713
597	-3.51819	0.000280557
598	-18.78851	0.001498286
599	-8.04505	0.000641551
600	-5.75653	0.000459053
601	-3.69226	0.000294438
602	-9.44593	0.000753264
603	-15.7599	0.00125677
604	-13.37401	0.001066508
605	-16.57968	0.001322143
606	-29.80627	0.002376895
607	-43.77607	0.003490915
608	-57.56894	0.004590825
609	-56.74318	0.004524975
610	-36.03184	0.002873352
611	-27.33497	0.002179822
612	-26.42081	0.002106923
613	-32.29525	0.002575379
614	-25.79265	0.00205683
615	-21.26579	0.001695837
616	-16.36739	0.001305214
617	-24.0851	0.001920662
618	-29.11324	0.00232163
619	-35.25613	0.002811493
620	-49.46487	0.003944567
621	-42.90312	0.003421301
622	-55.24506	0.004405508
623	-111.71394	0.008908608
624	-75.52285	0.006022556
625	-125.00241	0.009968295
626	-115.60081	0.009218565
627	-129.44672	0.010322705
628	-258.0292	0.020576491
629	-434.32493	0.034635162
630	-1149.98559	0.09170539
631	-740.68943	0.059066142
632	-829.73085	0.066166734
633	-817.82545	0.065217341
634	-507.83356	0.040497094
635	-326.68662	0.026051565
636	-356.04166	0.028392477
637	-261.62708	0.020863404
638	-300.97067	0.024000851
639	-147.63944	0.01177348
640	-135.43036	0.01079987
641	-188.35739	0.015020525
642	-815.7227	0.065049657
643	-1499.54818	0.119581194
644	-1403.03085	0.111884438
645	-1005.01492	0.080144731
646	-766.16358	0.061097574
647	-1105.89687	0.088189543
648	-1129.17389	0.090045765
649	-1004.84683	0.080131327
650	-903.15095	0.072021607
651	-887.7804	0.070795885
652	-719.69495	0.057391942
653	-759.34534	0.060553854
654	-518.76864	0.04136911
655	-862.6956	0.068795502
656	-1119.96105	0.089311088
657	-1404.93301	0.112036126
658	-1262.79946	0.100701712
659	-995.32719	0.079372184
660	-757.30447	0.060391106
661	-703.29818	0.056084384
662	-834.90355	0.066579231
663	-1411.96354	0.112596774
664	-1745.22959	0.139173013
665	-1126.49316	0.08983199
666	-1182.623	0.094308054
667	-1908.33409	0.152179752
668	-1900.54553	0.151558655
669	-1525.55312	0.121654954
670	-1395.56079	0.111288739
671	-1275.68103	0.101728949
672	-1357.86573	0.108282754
673	-1186.20606	0.094593785
674	-1711.61016	0.136492039
675	-1677.21216	0.133748976
676	-1367.24679	0.109030844
677	-1461.61717	0.116556393
678	-1522.05846	0.121376273
679	-1209.48308	0.096450007
680	-1184.55753	0.094462323
681	-1705.08975	0.13597207
682	-1791.75711	0.142883342
683	-1644.42733	0.131134556
684	-1197.48044	0.095492859
685	-1641.96487	0.130938188
686	-2360.5569	0.188242178
687	-2337.37413	0.186393471
688	-2242.57033	0.17883336
689	-2676.00749	0.213397726
690	-2925.79404	0.233316909
691	-2615.26538	0.208553859
692	-1862.08672	0.148491764
693	-2010.04466	0.160290642
694	-2277.27201	0.181600639
695	-2624.05364	0.209254677
696	-3041.78706	0.242566752
697	-3073.65175	0.245107795
698	-2375.54694	0.189437555
699	-1872.16367	0.149295349
700	-1847.86914	0.147357986
701	-1879.00544	0.149840945
702	-1773.75601	0.141447848
703	-1741.03605	0.1388386
704	-1527.51417	0.121811338
705	-1333.66571	0.106352927
706	-1863.77061	0.148626045
707	-2719.65967	0.216878762
708	-2412.95015	0.192420267
709	-2580.40146	0.205773641
710	-2687.07543	0.214280338
711	-2916.92921	0.232609985
712	-3143.35619	0.250666363
713	-3081.57603	0.245739715
714	-2974.43614	0.237195864
715	-3404.31078	0.271476139
716	-2904.91175	0.231651655
717	-2429.70078	0.193756043
718	-2740.40351	0.218532976
719	-3141.27411	0.250500328
720	-2424.11533	0.193310632
721	-1528.01558	0.121851322
722	-2677.90666	0.213549175
723	-2537.24471	0.202332114
724	-2760.40115	0.220127683
725	-3150.10956	0.251204909
726	-2034.12092	0.162210599
727	-2534.75872	0.20213387
728	-2740.31498	0.218525915
729	-2850.23882	0.227291773
730	-3032.52404	0.241828074
731	-2460.14418	0.196183746
732	-2036.96376	0.162437301
733	-2296.97182	0.183171596
734	-1977.42194	0.15768915
735	-1536.21403	0.122505106
736	-1730.66998	0.13801196
737	-2327.86931	0.185635511
738	-2328.53881	0.185688901
739	-2548.637	0.20324059
740	-2770.33653	0.220919979
741	-3034.18141	0.241960241
742	-2920.70103	0.232910768
743	-3256.99283	0.259728296
744	-2961.96745	0.236201551
745	-2760.46303	0.220132618
746	-2094.44716	0.167021305
747	-2216.89273	0.176785704
748	-2242.62636	0.178837828
749	-2443.44945	0.194852428
750	-2273.9366	0.181334657
751	-2581.02663	0.205823496
752	-3001.49382	0.239353574
753	-3529.06255	0.281424446
754	-3532.61025	0.281707357
755	-3711.13548	0.295943818
756	-3258.97754	0.259886566
757	-3290.04598	0.262364114
758	-2377.79126	0.189616528
759	-1763.42543	0.140624038
760	-1632.3892	0.130174577
761	-2151.26405	0.171552157
762	-2168.21228	0.172903691
763	-1970.86032	0.157165895
764	-2199.55216	0.175402884
765	-2418.76271	0.192883789
766	-2438.47734	0.194455928
767	-2462.43855	0.196366711
768	-2902.50233	0.231459515
769	-2989.05178	0.238361386
770	-2400.00956	0.191388322
771	-2046.50108	0.163197853
772	-1798.2185	0.143398605
773	-1818.81778	0.14504129
774	-1723.57159	0.137445901
775	-1443.38896	0.115102788
776	-1268.3879	0.101147361
777	-2027.6035	0.16169087
778	-2203.84606	0.1757453
779	-1936.37093	0.154415544
780	-1993.66544	0.158984485
781	-2005.72125	0.159945873
782	-2111.40722	0.168373781
783	-2297.80642	0.183238151
784	-2789.35813	0.222436852
785	-3018.52187	0.240711472
786	-2016.75084	0.160825426
787	-1967.87578	0.156927893
788	-2072.12265	0.165241041
789	-1759.15519	0.140283508
790	-1854.30115	0.147870905
791	-1890.74275	0.150776934
792	-2197.54977	0.175243203
793	-2698.8039	0.215215621
794	-2161.80406	0.172392669
795	-1967.65166	0.156910021
796	-1979.59541	0.157862472
797	-1651.40482	0.131690975
798	-1911.44824	0.152428089
799	-1077.78632	0.085947872
800	-1007.07048	0.080308651
801	-769.52551	0.061365671
802	-695.17045	0.055436241
803	-648.56623	0.051719795
804	-598.32877	0.047713618
805	-853.72456	0.068080108
806	-782.9172	0.062433588
807	-796.87816	0.063546903
808	-950.01179	0.075758515
809	-821.96595	0.065547524
810	-732.72394	0.058430936
811	-781.23032	0.062299068
812	-960.15959	0.076567751
813	-1519.69922	0.121188136
814	-1369.85966	0.109239207
815	-1759.66232	0.140323949
816	-2024.32698	0.161429584
817	-1666.98766	0.132933626
818	-1234.22585	0.098423114
819	-612.96209	0.04888055
820	-563.12568	0.044906354
821	-458.89363	0.036594389
822	-658.8556	0.052540319
823	-1552.66098	0.123816666
824	-2031.30746	0.161986241
825	-1512.06107	0.120579033
826	-1192.82969	0.095121985
827	-754.559	0.060172169
828	-835.07749	0.066593102
829	-1668.21447	0.133031457
830	-1491.11079	0.118908357
831	-1779.55973	0.141910664
832	-1752.01247	0.139713913
833	-1101.30813	0.087823615
834	-1095.55446	0.087364789
835	-1045.68568	0.083388013
836	-850.04998	0.067787079
837	-807.1999	0.064370008
838	-770.32176	0.061429168
839	-456.78204	0.036426
840	-300.07419	0.023929361
841	-384.65063	0.030673894
842	-633.32256	0.050504191
843	-538.9345	0.042977233
844	-184.99247	0.014752191
845	-73.24915	0.005841241
846	-232.48147	0.018539192
847	-426.03795	0.033974318
848	-255.80269	0.020398938
849	-86.34886	0.006885874
850	-40.43481	0.003224467
851	-44.13578	0.003519599
852	-29.21061	0.002329395
853	-36.29431	0.002894284
854	-249.19674	0.019872148
855	-538.08807	0.042909734
856	-650.89895	0.051905818
857	-128.35251	0.010235447
858	-104.15535	0.00830585
859	-142.46973	0.011361223
860	-146.89038	0.011713746
861	-74.98608	0.005979752
862	-179.24764	0.014294071
863	-468.35425	0.037348823
864	-412.139	0.032865949
865	-333.55504	0.026599286
866	-285.01915	0.0227288
867	-218.84785	0.017451981
868	-205.12583	0.016357722
869	-229.671	0.018315072
870	-369.01761	0.029427242
