Time [h]	Inlet Temperature [C]	Outlet Temperature [C]
21545	5.4652972157189	8.7224400698467
21546	5.4650244092479	8.7221672632753
21547	5.4647497203146	8.7218925742452
21548	5.4644731747672	8.7216160286044
21549	5.4641947988109	8.721337652558
21550	5.4639146187579	8.7210574724179
21551	5.4636326608438	8.7207755144197
21552	5.4633489510932	8.7204918045877
21553	5.4630635151597	8.7202063686375
21554	5.4628701641972	8.7200130177218
21555	5.4628507512872	8.7199936048601
21556	5.4629466597377	8.7200895133602
21557	5.4631150854048	8.7202579390783
21558	5.4633332112966	8.7204760650226
21559	5.4635862423763	8.7207290961564
21560	5.4638646886159	8.7210075424517
21561	5.4641626173145	8.7213054712079
21562	5.4644762274704	8.721619081423
21563	5.4648029608717	8.7219458148856
21564	5.465140999648	8.722283853725
21565	5.4654889818636	8.7226318360059
21566	5.4658458413583	8.7229886955681
21567	5.4662107031699	8.7233535574495
21568	5.4665828449802	8.723725699332
21569	5.4669616510447	8.7241045054713
21570	5.4673465923706	8.7244894468746
21571	5.4677372096967	8.7248800642811
21572	5.4681331006935	8.7252759553612
21573	5.4685339101855	8.7256767649396
21574	5.4689393224625	8.7260821773065
21575	5.4693490551598	8.7264919100972
21576	5.4697628543419	8.7269057093765
21577	5.4701804905531	8.7273233456477
21578	5.4706328231446	8.72777567826
21579	5.4711469586484	8.7282898137863
21580	5.4717033597733	8.7288462149356
21581	5.4722875592974	8.729430414486
21582	5.4728917828717	8.7300346380891
21583	5.4735109509792	8.7306538062279
21584	5.4741417650748	8.7312846203578
21585	5.4747821247044	8.7319249800252
21586	5.4754306496797	8.7325735050423
21587	5.4760863816239	8.7332292370331
21588	5.4767486153372	8.7338914707984
21589	5.4774168033384	8.7345596588582
21590	5.4780905010829	8.7352333566693
21591	5.4787693353661	8.7359121910287
21592	5.4794529856312	8.7365958413819
21593	5.4801411721829	8.7372840280368
21594	5.4808336481261	8.7379765041021
21595	5.4815301934683	8.7386730495914
21596	5.4822305911176	8.7393734474213
21597	5.4829346982134	8.7400775547439
21598	5.4836423323983	8.7407851892225
21599	5.4843533478643	8.7414962050834
21600	5.4850676081645	8.7422104659433
21601	5.4857849871652	8.7429278457119
21602	5.4864322626246	8.7435751219519
21603	5.4869445038103	8.744087363918
21604	5.4873669759533	8.744509836841
21605	5.4877336056958	8.7448764673633
21606	5.4880624241493	8.7452052865962
21607	5.4883625943775	8.7455054576037
21608	5.4886428724689	8.745785736474
21609	5.4889154609714	8.746058325755
21610	5.4891700880177	8.7463129535796
21611	5.4894207501597	8.7465636164996
21612	5.4896690500692	8.7468119171868
21613	5.4899126975502	8.7470555654452
21614	5.4901376573799	8.7472805260521
21615	5.4903517943782	8.7474946638272
21616	5.4905689498236	8.7477118200492
21617	5.4907843909412	8.747927261943
21618	5.4909959528824	8.7481388246602
21619	5.4912034375772	8.7483463101306
21620	5.4914071435673	8.748550016896
21621	5.4916074441413	8.7487503182452
21622	5.4918046703266	8.7489475452052
21623	5.491999090467	8.7491419661201
21624	5.4921909200897	8.749333796517
21625	5.4923803372641	8.7495232139395
21626	5.4925635819528	8.7497064583555
21627	5.4927373055408	8.7498801816776
21628	5.4929040602196	8.7500469360968
21629	5.4930657773563	8.7502086529802
21630	5.4932235265427	8.7503664019191
21631	5.4933780262432	8.750520901378
21632	5.4935297622082	8.7506726371069
21633	5.4936790624035	8.7508219370716
21634	5.493826158503	8.7509690329456
21635	5.4939712243808	8.7511140986029
21636	5.4941143979647	8.7512572719712
21637	5.4942557937242	8.7513986675197
21638	5.4943955099475	8.7515383835367
21639	5.4945336330374	8.7516765064246
21640	5.4946702401352	8.7518131133247
21641	5.4948054008416	8.7519482738376
21642	5.4949391784411	8.7520820512475
21643	5.4950716308308	8.7522145034515
21644	5.4952028112535	8.7523456836922
21645	5.4953327688893	8.7524756411496
21646	5.4954615493405	8.7526044214261
21647	5.4955891950346	8.7527320669489
21648	5.4957157455625	8.7528586173088
21649	5.4958412384099	8.7529841095472
21650	5.4959823641324	8.7531252341661
21651	5.4961539178545	8.7532967867108
21652	5.4963455967643	8.7534884643619
21653	5.4965496856242	8.7536925518727
21654	5.4967620854494	8.7539049502486
21655	5.4969801527791	8.7541230160171
21656	5.497202200587	8.7543450621383
21657	5.4974271829139	8.7545700426376
21658	5.4976544371524	8.7547972948887
21659	5.4978835231943	8.7550263787618
21660	5.4981141324415	8.7552569856328
21661	5.498346036977	8.7554888875533
