Time [d]	Qevap [W]	mdot [kg/s]
1093	-28231.2673602865	2.25129723789063
1094	-29363.7239574219	2.34160478144531
1095	-31241.6623278646	2.49136063216146
1096	-25344.8914939453	2.02112372363281
1097	-20985.2039938802	1.67346124342448
1098	-23663.8585064648	1.88707005638021
1099	-20371.7925351367	1.62454485917969
1100	-15826.3802085938	1.26207178691406
1101	-17829.7048615169	1.42182654394531
1102	-23982.1701397982	1.91245375904948
1103	-23989.0668389323	1.91300373522135
1104	-26256.5624989583	2.09382476074219
1105	-28540.5555552734	2.27596136829427
1106	-31258.7369784505	2.49272224726563
1107	-30089.6397556641	2.39949280351563
1108	-33554.1840275391	2.67577225110677
1109	-30514.7743061849	2.43339508007813
1110	-28438.8368068815	2.2678498249349
1111	-21577.4088541471	1.72068651152344
1112	-22838.8671875	1.8212812750651
1113	-23103.9800339844	1.84242265032552
1114	-25172.8993044271	2.00740823808594
1115	-23426.5451391276	1.86814554518229
1116	-26590.2473962891	2.1204344015625
1117	-30921.9835063151	2.4658679031901
1118	-36357.1006953776	2.8992903266276
1119	-36393.6501727865	2.90220495800781
1120	-38232.851563151	3.04887173541667
1121	-33574.6310764323	2.67740279720052
1122	-33894.7048617188	2.70292702239583
1123	-24496.4756946615	1.95346696132813
1124	-18167.157118405	1.44873661217448
1125	-16817.196179056	1.3410842249349
1126	-22162.7473967448	1.76736422623698
1127	-22337.3524311849	1.78128807265625
1128	-20304.1927083529	1.6191541235026
1129	-22660.2213534505	1.80703519557292
1130	-24918.5720476563	1.98712695761719
1131	-25121.6753470052	2.00332339296875
1132	-25368.5286460286	2.02300866393229
1133	-29902.1527781901	2.3845416889974
1134	-30793.8020835286	2.45564609908854
1135	-24725.3732652148	1.9717203561849
1136	-21083.4592016016	1.68129658697917
1137	-18525.6033003711	1.47732083736979
1138	-18737.8211816471	1.49424411334635
1139	-17756.5755203776	1.41599485807292
1140	-14870.0781251953	1.18581165279948
1141	-13067.1831595247	1.04204012421875
1142	-20888.7717007161	1.66577126816406
1143	-22704.4574651042	1.81056279628906
1144	-19948.8758667969	1.59081944720052
1145	-20539.1362845508	1.63788965592448
1146	-20663.337673112	1.64779407285156
1147	-21752.1354160156	1.73462004908854
1148	-23672.4565974609	1.8877557093099
1149	-28736.5190970052	2.29158844472656
1150	-31097.4088548177	2.47985716542969
1151	-20776.9661458333	1.6568553546224
1152	-20273.4461809896	1.61670224726563
1153	-21347.4175348958	1.70234589589844
1154	-18123.1640612175	1.44522839414063
1155	-19103.3767355664	1.52339527402344
1156	-19478.8064231771	1.55333384550781
1157	-22639.5920143229	1.80539011269531
1158	-27803.6111107422	2.2171938686849
1159	-22271.3324659505	1.77602332265625
1160	-20271.1371516927	1.61651811419271
1161	-20394.1840279948	1.62633046458333
1162	-17013.0989576172	1.35670645585938
1163	-19692.1180552083	1.57034434270833
1164	-11103.5677082617	0.885451970377604
1165	-10375.0390633659	0.827355587044271
1166	-7927.80381971159	0.632201261588542
1167	-7161.78385391276	0.571115140104167
1168	-6681.65798611113	0.532827590559896
1169	-6164.10156232422	0.491555148632812
1170	-8795.23871527995	0.701374698242188
1171	-8065.76822920573	0.643203208072917
1172	-8209.59635383464	0.654672755664063
1173	-9787.20920161458	0.780479202734375
1174	-8468.0555560026	0.675283537109375
1175	-7548.6675348763	0.601967108007813
1176	-8048.38975705078	0.641817365039063
1177	-9891.75347246094	0.788816066276042
1178	-15656.2413192708	1.24850409264323
1179	-14112.5651039063	1.12540391582031
1180	-18128.3897570313	1.44564511621094
1181	-20855.0173622396	1.6630795344401
1182	-17173.6371538411	1.36950854492188
1183	-12715.2387153451	1.01397437923177
1184	-6314.85677039714	0.503577094856771
1185	-5801.43229160593	0.462634153971354
1186	-4727.61284745638	0.377002619466146
1187	-6787.66059029948	0.541280748958333
1188	-15995.8203126758	1.27558375690104
1189	-20926.931424069	1.66881430813802
1190	-15577.5520829622	1.24222903378906
1191	-12288.767360612	0.979965499348958
1192	-7773.61545123698	0.619905538411458
1193	-8603.1336809375	0.686055317382813
1194	-17186.276041862	1.37051643079427
1195	-15361.7187503255	1.22501744407552
1196	-18333.3767363281	1.46199176523438
1197	-18049.5789927734	1.43936036627604
1198	-11345.8940976367	0.904776243684896
1199	-11286.6189237435	0.900049355859375
1200	-10772.8602427344	0.859079764127604
1201	-8757.3828124349	0.698355886067708
1202	-8315.93315915365	0.663152564518229
1203	-7936.00694407552	0.632855418229167
1204	-4705.85937482682	0.375267892708333
1205	-3091.4236108748	0.246525006966146
1206	-3962.74739588542	0.316008564388021
1207	-6524.61371525391	0.520304124153646
1208	-5552.20920158008	0.442759904361979
1209	-1905.82899286719	0.151979983528646
1210	-754.62673606556	0.060177570703125
1211	-2395.06944442057	0.190994373372396
1212	-4389.12760438802	0.350010175651042
1213	-2635.32986113711	0.210153884114583
1214	-889.583333292123	0.0709396597005208
1215	-416.566840277995	0.0332190462890625
1216	-454.696180490234	0.0362596635416667
1217	-300.93315968099	0.0239978596354167
1218	-373.910590253906	0.0298174314453125
1219	-2567.27430553385	0.204726818619792
1220	-5543.48958354167	0.442064559960937
1221	-6705.69010375651	0.534744027473958
1222	-1322.31336801432	0.105447636979167
1223	-1073.02951391081	0.0855685416666667
1224	-1467.75173615449	0.117045593033854
1225	-1513.2942708724	0.120677374153646
1226	-772.521701367188	0.0616046013671875
1227	-1846.64496529297	0.147260363997396
1228	-4825.07812454427	0.384774970182292
1229	-4245.9375002474	0.338591507291667
1230	-3436.34982616732	0.27403108671875
1231	-2936.32378472656	0.234156601757813
1232	-2254.61371507161	0.179793757226563
1233	-2113.24652780404	0.168520456705729
1234	-2366.11545161654	0.188685442643229
1235	-3801.69270855273	0.303165287760417
1236	-5012.96006962044	0.399757581380208
1237	-1799.61371527799	0.143509865690104
1238	-996.31510421224	0.0794509652994792
1239	-708.567708261719	0.0565046018229167
1240	-700.364583337891	0.0558504451822917
1241	-420.698784722656	0.0335485473958333
1242	-344.409722200521	0.0274648901041667
1243	-159.079861132813	0.0126857943359375
1244	-382.235243009961	0.0304812793619792
1245	-1167.66927089193	0.093115571875
1246	-2028.4505208138	0.161758414778646
1247	-1549.26649305599	0.123545972330729
1248	-1595.08246527995	0.127199558463542
1249	-1379.15798611543	0.109980700651042
1250	-1035.38628472201	0.0825666892578125
1251	-862.391493098958	0.0687712514322917
1252	-1536.08072914518	0.122494475976563
1253	-1967.68663199219	0.156912809570313
1254	-1781.32378489128	0.142051338541667
1255	-366.193576386719	0.0292020395833333
1256	-126.054687480469	0.0100522079427083
1257	-175.364583333333	0.0139844165364583
1258	-153.368055531706	0.0122303074869792
1259	-104.635416666667	0.00834413209635417
1260	-40.8637152799479	0.00325866946614583
1261	-58.1814236132813	0.00463966692708333
1262	-199.275173632813	0.0158911621744792
1263	-328.489583311654	0.0261953416015625
1264	-220.481770813802	0.0175822783854167
1265	-33.4809027799479	0.00266992845052083
1266	-33.6328125	0.00268204244791667
1267	-43.8107638867187	0.00349368131510417
1268	-11.3628472200521	0.000906128190104167
1269	-29.0451388867188	0.00231619928385417
1270	-53.9887152799479	0.00430532018229167
1271	-47.5477430533854	0.00379168606770833
1272	-9.17534722005208	0.000731686393229167
1273	-117.51736108724	0.009371400390625
1274	-176.458333333333	0.0140716374348958
1275	-115.572916647135	0.00921634108072917
1276	-169.105902799479	0.0134853192057292
1277	-142.309027799479	0.0113484073567708
1278	-67.3567708548177	0.00537135338541667
1279	-43.8411458333333	0.0034961041015625
1280	-159.960937480469	0.0127560556640625
1281	-264.26215281901	0.0210735369140625
1282	-241.080729210286	0.0192249385416667
1283	-348.146701345703	0.0277628948567708
1284	-267.391493053385	0.021323085546875
1285	-93.7282986328125	0.00747434596354167
1286	-27.4956597200521	0.002192636328125
1287	-4.70920138867187	0.000375534375
1288	-9.96527777994792	0.000794679231770833
1289	-3.43315972200521	0.000273776692708333
1290	-91.6319444205729	0.00730717259114583
1291	-93.1510416666667	0.00742831276041667
1292	-97.2526041666667	0.00775539108072917
1293	-33.5720486132813	0.002677196875
1294	-1.30642361132813	0.000104180533854167
1295	0	0
1296	0	0
1297	-6.62326388671875	0.000528170963541667
1298	-48.7934027734375	0.00389102096354167
1299	-74.4965277558594	0.0059407119140625
1300	-36.7925347200521	0.00293401393229167
1301	-43.5677083333333	0.00347429889322917
1302	-61.7664930533854	0.00492555768229167
1303	-7.50434027994792	0.0005984322265625
